# train_acc train_loss test_acc test_loss
8.660714285714286031e-01 1.613947885377066571e+00 8.051215277777777901e-01 1.667749285697937012e+00
8.761160714285713969e-01 1.599997367177690810e+00 8.611111111111111605e-01 1.617198169231414795e+00
9.084821428571429047e-01 1.569075056484767305e+00 8.611111111111111605e-01 1.614203095436096191e+00
9.095982142857143016e-01 1.566683956554957735e+00 8.611111111111111605e-01 1.611829638481140137e+00
9.095982142857143016e-01 1.564516305923461914e+00 8.611111111111111605e-01 1.609879255294799805e+00
9.107142857142856984e-01 1.562997204916817706e+00 8.611111111111111605e-01 1.608255863189697266e+00
9.107142857142856984e-01 1.561822465487888945e+00 8.611111111111111605e-01 1.606881797313690186e+00
9.107142857142856984e-01 1.560841304915291827e+00 8.611111111111111605e-01 1.605688333511352539e+00
9.107142857142856984e-01 1.559985194887433702e+00 8.611111111111111605e-01 1.604630112648010254e+00
9.107142857142856984e-01 1.559220296995980304e+00 8.680555555555555802e-01 1.603677630424499512e+00
9.107142857142856984e-01 1.558527537754603731e+00 8.680555555555555802e-01 1.602812051773071289e+00
9.107142857142856984e-01 1.557894502367292100e+00 8.680555555555555802e-01 1.602019250392913818e+00
9.107142857142856984e-01 1.557312113898140948e+00 8.680555555555555802e-01 1.601289033889770508e+00
9.107142857142856984e-01 1.556774037224905927e+00 8.680555555555555802e-01 1.600613474845886230e+00
9.107142857142856984e-01 1.556275112288338702e+00 8.680555555555555802e-01 1.599986076354980469e+00
9.107142857142856984e-01 1.555810843195233995e+00 8.680555555555555802e-01 1.599401891231536865e+00
9.107142857142856984e-01 1.555377892085484159e+00 8.680555555555555802e-01 1.598855972290039062e+00
9.107142857142856984e-01 1.554973329816545791e+00 8.680555555555555802e-01 1.598345458507537842e+00
9.107142857142856984e-01 1.554594465664454805e+00 8.680555555555555802e-01 1.597866654396057129e+00
9.107142857142856984e-01 1.554239051682608563e+00 8.680555555555555802e-01 1.597417116165161133e+00
9.107142857142856984e-01 1.553905299731663359e+00 8.680555555555555802e-01 1.596994757652282715e+00
9.107142857142856984e-01 1.553591438702174532e+00 8.680555555555555802e-01 1.596597671508789062e+00
9.107142857142856984e-01 1.553296021052769316e+00 8.680555555555555802e-01 1.596224129199981689e+00
9.107142857142856984e-01 1.553017531122480088e+00 8.680555555555555802e-01 1.595873177051544189e+00
9.107142857142856984e-01 1.552755219595772784e+00 8.680555555555555802e-01 1.595544040203094482e+00
9.107142857142856984e-01 1.552507962499346084e+00 8.680555555555555802e-01 1.595236599445343018e+00
9.107142857142856984e-01 1.552274755069187773e+00 8.680555555555555802e-01 1.594950914382934570e+00
9.107142857142856984e-01 1.552054899079459149e+00 8.680555555555555802e-01 1.594686627388000488e+00
9.107142857142856984e-01 1.551846929958888399e+00 8.680555555555555802e-01 1.594442188739776611e+00
9.107142857142856984e-01 1.551649400166102755e+00 8.680555555555555802e-01 1.594213545322418213e+00
9.107142857142856984e-01 1.551460640771048505e+00 8.680555555555555802e-01 1.593994677066802979e+00
9.107142857142856984e-01 1.551279766219002765e+00 8.680555555555555802e-01 1.593779206275939941e+00
9.107142857142856984e-01 1.551105788775852812e+00 8.680555555555555802e-01 1.593563199043273926e+00
9.107142857142856984e-01 1.550938878740583116e+00 8.680555555555555802e-01 1.593346595764160156e+00
9.107142857142856984e-01 1.550778933933802950e+00 8.680555555555555802e-01 1.593128442764282227e+00
9.107142857142856984e-01 1.550628713199070585e+00 8.680555555555555802e-01 1.592946827411651611e+00
9.107142857142856984e-01 1.550479326929364854e+00 8.680555555555555802e-01 1.592566132545471191e+00
9.107142857142856984e-01 1.551932488168988877e+00 8.611111111111111605e-01 1.616946220397949219e+00
6.004464285714286031e-01 1.861066954476492841e+00 5.954861111111111605e-01 1.865846037864685059e+00
7.633928571428570953e-01 1.698624253273010254e+00 7.391493055555555802e-01 1.722532987594604492e+00
8.180803571428570953e-01 1.643867118018013995e+00 7.747395833333332593e-01 1.699816942214965820e+00
8.861607142857143016e-01 1.577650121280125273e+00 8.680555555555555802e-01 1.595605552196502686e+00
9.107142857142856984e-01 1.551364336694989854e+00 8.680555555555555802e-01 1.593797028064727783e+00
9.107142857142856984e-01 1.550650204930986709e+00 8.680555555555555802e-01 1.593020379543304443e+00
9.107142857142856984e-01 1.550286582538059843e+00 8.680555555555555802e-01 1.592553555965423584e+00
9.107142857142856984e-01 1.550063354628426593e+00 8.680555555555555802e-01 1.592234373092651367e+00
9.107142857142856984e-01 1.549903937748500216e+00 8.680555555555555802e-01 1.591989696025848389e+00
9.107142857142856984e-01 1.549775481224060059e+00 8.680555555555555802e-01 1.591788768768310547e+00
9.107142857142856984e-01 1.549664599554879230e+00 8.680555555555555802e-01 1.591616988182067871e+00
9.107142857142856984e-01 1.549565894263131183e+00 8.680555555555555802e-01 1.591466963291168213e+00
9.107142857142856984e-01 1.549476402146475751e+00 8.680555555555555802e-01 1.591333806514739990e+00
9.107142857142856984e-01 1.549393960407801973e+00 8.680555555555555802e-01 1.591210365295410156e+00
9.107142857142856984e-01 1.549297298703874892e+00 8.680555555555555802e-01 1.590758562088012695e+00
9.017857142857143016e-01 1.554395113672528916e+00 4.843750000000000000e-01 1.969796061515808105e+00
6.004464285714286031e-01 1.858931132725306856e+00 7.009548611111111605e-01 1.753712177276611328e+00
7.265625000000000000e-01 1.749476637159075088e+00 6.883680555555555802e-01 1.752844810485839844e+00
7.321428571428570953e-01 1.741543275969368976e+00 7.769097222222222099e-01 1.707674562931060791e+00
7.633928571428570953e-01 1.722602980477469403e+00 7.343750000000000000e-01 1.703209519386291504e+00
7.700892857142856984e-01 1.703952039991106338e+00 7.747395833333332593e-01 1.689018607139587402e+00
7.779017857142856984e-01 1.689371109008789062e+00 7.773437500000000000e-01 1.687812924385070801e+00
7.734375000000000000e-01 1.706030930791582412e+00 8.328993055555555802e-01 1.639812827110290527e+00
8.616071428571429047e-01 1.620556320462908095e+00 9.882812500000000000e-01 1.531003355979919434e+00
9.988839285714286031e-01 1.501465456826346356e+00 9.930555555555555802e-01 1.517032742500305176e+00
1.000000000000000000e+00 1.495666895593915635e+00 1.000000000000000000e+00 1.510830044746398926e+00
1.000000000000000000e+00 1.492345826966422040e+00 1.000000000000000000e+00 1.506236433982849121e+00
1.000000000000000000e+00 1.489731431007385254e+00 1.000000000000000000e+00 1.502513587474822998e+00
1.000000000000000000e+00 1.487524577549525606e+00 1.000000000000000000e+00 1.499306738376617432e+00
1.000000000000000000e+00 1.485603860446385038e+00 1.000000000000000000e+00 1.496490299701690674e+00
1.000000000000000000e+00 1.483905247279575956e+00 1.000000000000000000e+00 1.493999600410461426e+00
1.000000000000000000e+00 1.482390727315630263e+00 1.000000000000000000e+00 1.491784811019897461e+00
1.000000000000000000e+00 1.481032150132315595e+00 1.000000000000000000e+00 1.489799022674560547e+00
1.000000000000000000e+00 1.479805162974766386e+00 1.000000000000000000e+00 1.488000988960266113e+00
